Storage_Temperature_C,Storage_Time_Days,pH,Titratable_Acidity_pct,Microbial_Load_log_CFU_mL,Sensory_Score,Shelf_Life_Status
2.78,3.37,6.625,0.153,2.43,7.94,Acceptable
5.96,5.33,6.424,0.175,3.03,7.8,Acceptable
4.81,9.63,6.346,0.215,3.84,6.86,Acceptable
3.39,7.67,6.514,0.182,3.11,8.55,Acceptable
8.17,0.35,6.633,0.157,2.76,8.97,Acceptable
2.59,10.4,6.38,0.206,3.62,6.97,Acceptable
2.65,1.16,6.69,0.139,2.07,9.46,Acceptable
3.6,14.9,6.273,0.252,4.53,5.88,Spoiled
5.21,8.66,6.401,0.209,3.52,7.69,Acceptable
8.29,1.84,6.575,0.172,2.72,8.82,Acceptable
2.56,13.78,6.252,0.242,4.24,5.28,Spoiled
5.09,14.06,6.115,0.258,4.58,5.92,Spoiled
4.17,1.48,6.665,0.144,2.15,9.0,Acceptable
5.14,13.38,6.209,0.256,4.48,5.37,Spoiled
9.6,14.71,6.108,0.273,5.09,4.61,Spoiled
3.67,7.58,6.438,0.203,3.33,7.46,Acceptable
7.37,1.72,6.587,0.154,2.41,8.54,Acceptable
8.6,4.47,6.449,0.17,3.38,8.34,Acceptable
3.34,1.1,6.683,0.136,2.23,9.67,Acceptable
9.01,12.75,6.11,0.257,4.72,5.16,Spoiled
8.92,7.69,6.343,0.211,3.86,5.96,Acceptable
3.48,9.5,6.379,0.212,3.71,6.44,Acceptable
5.65,11.48,6.279,0.242,4.34,6.02,Spoiled
5.27,4.43,6.552,0.17,3.09,9.09,Acceptable
5.37,10.16,6.333,0.218,3.92,6.7,Acceptable
6.26,1.19,6.613,0.153,2.33,9.54,Acceptable
7.63,0.93,6.583,0.147,2.71,9.35,Acceptable
2.36,10.92,6.414,0.203,3.39,6.85,Acceptable
8.42,1.43,6.582,0.164,2.39,9.79,Acceptable
8.71,13.11,6.172,0.258,5.1,5.51,Spoiled
3.5,2.03,6.597,0.153,1.88,8.71,Acceptable
5.51,9.9,6.285,0.22,3.95,6.85,Spoiled
3.76,4.07,6.558,0.158,2.55,9.04,Acceptable
2.26,2.2,6.689,0.133,2.07,9.75,Acceptable
4.06,1.99,6.615,0.141,2.33,9.78,Acceptable
6.13,9.92,6.276,0.227,4.24,7.17,Spoiled
3.68,9.19,6.392,0.212,4.07,6.87,Acceptable
6.05,3.1,6.551,0.163,2.8,8.3,Acceptable
6.73,7.78,6.393,0.207,3.77,7.75,Acceptable
4.58,4.2,6.523,0.16,2.84,8.98,Acceptable
5.99,0.44,6.646,0.142,2.21,9.11,Acceptable
5.45,1.51,6.64,0.147,2.4,8.7,Acceptable
9.76,14.05,6.031,0.264,5.29,4.88,Spoiled
7.19,6.15,6.405,0.181,3.78,7.18,Acceptable
3.11,9.04,6.369,0.206,3.54,7.1,Acceptable
2.62,11.07,6.376,0.224,3.91,6.86,Spoiled
2.37,8.09,6.455,0.191,3.15,6.9,Acceptable
9.52,12.41,6.209,0.249,4.79,5.32,Spoiled
7.57,1.62,6.575,0.145,2.42,8.25,Acceptable
5.19,5.92,6.477,0.198,3.18,7.63,Acceptable
6.34,6.36,6.445,0.193,3.55,7.0,Acceptable
4.23,8.0,6.443,0.195,3.47,7.63,Acceptable
5.4,4.34,6.491,0.154,2.87,8.61,Acceptable
3.11,13.18,6.229,0.23,4.09,6.29,Spoiled
4.15,1.74,6.677,0.145,2.51,9.58,Acceptable
9.75,0.81,6.524,0.17,3.03,9.07,Acceptable
9.73,3.9,6.468,0.181,3.33,7.77,Acceptable
7.2,6.56,6.437,0.213,3.76,7.69,Acceptable
2.29,0.0,6.775,0.119,1.74,8.98,Acceptable
3.91,3.49,6.609,0.168,2.36,8.55,Acceptable
6.18,12.63,6.206,0.243,4.81,5.69,Spoiled
5.53,8.82,6.355,0.206,3.86,6.54,Acceptable
2.88,14.36,6.169,0.248,4.35,6.39,Spoiled
4.3,4.73,6.451,0.175,2.96,8.72,Acceptable
4.73,8.33,6.307,0.204,3.23,7.57,Acceptable
5.96,14.71,6.103,0.264,4.9,5.0,Spoiled
9.44,4.57,6.453,0.186,3.42,6.88,Acceptable
7.47,10.7,6.228,0.239,4.48,6.37,Spoiled
9.56,8.79,6.372,0.223,4.28,6.42,Spoiled
2.62,1.03,6.659,0.121,1.82,8.92,Acceptable
4.07,14.44,6.19,0.25,4.33,5.37,Spoiled
4.6,13.5,6.176,0.241,4.73,5.48,Spoiled
3.03,13.2,6.225,0.244,4.44,6.36,Spoiled
4.93,1.52,6.648,0.135,2.37,8.86,Acceptable
2.2,10.09,6.389,0.208,3.71,7.84,Acceptable
7.57,12.04,6.182,0.237,4.57,6.21,Spoiled
9.81,4.83,6.424,0.199,3.75,7.33,Acceptable
9.2,7.82,6.377,0.219,4.18,6.52,Acceptable
6.02,9.36,6.35,0.212,4.13,7.37,Acceptable
3.82,2.63,6.622,0.154,2.42,9.52,Acceptable
9.1,7.21,6.347,0.204,3.84,6.96,Acceptable
2.44,6.33,6.503,0.171,2.92,8.09,Acceptable
2.33,1.75,6.661,0.134,1.87,9.93,Acceptable
8.97,10.04,6.29,0.238,4.4,6.48,Spoiled
9.93,3.63,6.421,0.192,3.47,8.52,Acceptable
7.51,7.25,6.335,0.202,3.86,7.5,Acceptable
8.63,13.14,6.15,0.26,4.74,4.84,Spoiled
9.89,5.56,6.337,0.198,3.49,6.83,Acceptable
5.59,10.83,6.321,0.232,4.08,6.17,Spoiled
4.01,12.63,6.234,0.234,4.48,6.62,Spoiled
2.25,14.37,6.186,0.237,4.07,6.3,Spoiled
7.52,3.89,6.499,0.174,2.99,7.88,Acceptable
3.99,13.39,6.221,0.255,4.5,5.62,Spoiled
7.47,1.8,6.597,0.165,2.72,8.7,Acceptable
7.97,12.6,6.249,0.257,4.79,5.78,Spoiled
8.76,2.11,6.489,0.181,2.83,8.19,Acceptable
4.87,9.11,6.405,0.201,3.59,7.0,Acceptable
8.45,3.01,6.494,0.183,2.66,7.76,Acceptable
3.9,2.69,6.586,0.144,2.34,8.93,Acceptable
8.27,7.79,6.377,0.205,3.95,6.94,Acceptable
3.47,0.11,6.759,0.123,1.66,10.0,Acceptable
5.71,11.27,6.282,0.227,4.38,6.13,Spoiled
6.03,4.29,6.527,0.177,3.01,8.24,Acceptable
5.57,6.11,6.453,0.192,3.14,7.6,Acceptable
6.09,11.8,6.264,0.241,4.72,6.75,Spoiled
6.66,8.93,6.391,0.203,3.39,6.76,Acceptable
8.48,11.78,6.235,0.247,4.3,5.46,Spoiled
5.23,11.02,6.299,0.23,4.24,7.2,Spoiled
2.19,2.92,6.623,0.148,1.76,8.2,Acceptable
3.92,7.47,6.492,0.199,3.42,7.73,Acceptable
6.38,10.0,6.32,0.224,4.26,6.95,Spoiled
2.92,1.66,6.686,0.143,2.19,9.77,Acceptable
6.34,11.47,6.245,0.257,4.14,6.06,Spoiled
7.28,9.23,6.327,0.218,3.93,6.61,Acceptable
4.01,7.09,6.391,0.193,3.65,8.12,Acceptable
4.21,0.54,6.692,0.127,2.42,8.94,Acceptable
4.59,0.25,6.768,0.132,1.97,9.23,Acceptable
7.31,3.42,6.528,0.171,3.26,8.52,Acceptable
9.82,10.91,6.2,0.234,4.27,5.81,Spoiled
5.32,10.96,6.26,0.209,3.81,6.68,Acceptable
9.72,13.53,6.14,0.274,5.29,5.37,Spoiled
6.94,9.67,6.326,0.223,4.02,5.53,Spoiled
3.39,4.57,6.568,0.164,2.63,8.62,Acceptable
9.52,12.63,6.146,0.253,4.78,4.9,Spoiled
9.27,3.85,6.448,0.169,3.36,8.08,Acceptable
4.35,13.29,6.227,0.247,4.56,6.36,Spoiled
5.19,14.15,6.195,0.236,5.03,5.96,Spoiled
8.9,3.16,6.491,0.166,3.23,7.84,Acceptable
3.34,11.48,6.321,0.221,3.83,6.11,Spoiled
7.09,4.85,6.445,0.177,3.27,8.42,Acceptable
8.04,12.01,6.215,0.246,4.59,6.65,Spoiled
5.59,12.94,6.208,0.253,4.47,5.82,Spoiled
9.51,12.12,6.183,0.247,4.77,5.78,Spoiled
4.31,9.31,6.356,0.213,3.93,7.1,Acceptable
2.95,10.33,6.4,0.201,3.7,6.48,Acceptable
2.12,6.24,6.545,0.185,3.12,8.46,Acceptable
4.8,2.01,6.601,0.154,2.52,8.96,Acceptable
7.59,3.93,6.479,0.161,3.19,7.66,Acceptable
6.26,14.65,6.098,0.275,5.18,5.5,Spoiled
2.06,1.45,6.637,0.139,1.93,10.0,Acceptable
3.42,6.21,6.491,0.177,3.36,8.39,Acceptable
6.74,4.74,6.491,0.176,2.94,7.71,Acceptable
3.37,0.5,6.71,0.136,2.11,9.59,Acceptable
5.64,6.87,6.485,0.201,3.21,8.6,Acceptable
8.97,14.66,6.11,0.274,5.6,4.82,Spoiled
6.01,4.73,6.468,0.169,3.07,7.19,Acceptable
5.94,6.96,6.39,0.199,3.51,7.68,Acceptable
9.19,7.59,6.355,0.217,4.12,7.02,Acceptable
2.52,10.74,6.363,0.201,3.57,6.56,Acceptable
2.48,5.36,6.552,0.16,2.92,8.3,Acceptable
9.37,10.53,6.21,0.237,4.23,6.36,Spoiled
3.09,12.98,6.318,0.233,4.48,6.24,Spoiled
7.57,13.1,6.236,0.266,4.8,6.36,Spoiled
2.14,7.15,6.498,0.195,3.09,8.49,Acceptable
9.9,8.46,6.33,0.219,4.01,7.54,Acceptable
5.94,14.77,6.203,0.264,5.13,5.45,Spoiled
3.91,9.02,6.342,0.207,3.62,7.41,Acceptable
4.7,12.72,6.245,0.255,4.53,6.58,Spoiled
3.46,10.93,6.33,0.21,3.91,7.44,Acceptable
6.43,8.13,6.285,0.206,4.05,6.73,Acceptable
6.29,7.45,6.389,0.204,3.67,7.62,Acceptable
5.04,6.81,6.493,0.198,3.28,7.04,Acceptable
3.73,1.08,6.618,0.137,2.48,8.15,Acceptable
8.35,8.58,6.334,0.218,4.28,6.39,Acceptable
9.16,3.04,6.485,0.185,2.96,8.93,Acceptable
6.53,7.13,6.444,0.206,3.78,7.14,Acceptable
5.69,4.75,6.565,0.179,3.23,7.63,Acceptable
8.33,10.43,6.25,0.235,4.78,5.45,Spoiled
9.7,8.58,6.361,0.222,3.74,6.04,Spoiled
2.54,6.2,6.481,0.171,3.08,7.48,Acceptable
6.61,2.31,6.562,0.159,2.67,9.14,Acceptable
9.2,5.98,6.389,0.189,3.95,7.52,Acceptable
5.28,3.41,6.492,0.174,2.7,8.48,Acceptable
8.85,12.24,6.222,0.245,4.74,5.69,Spoiled
6.52,8.01,6.406,0.216,3.73,6.78,Acceptable
4.85,4.12,6.508,0.162,3.02,8.9,Acceptable
4.08,2.99,6.651,0.143,2.71,8.36,Acceptable
6.56,9.47,6.331,0.218,3.81,6.22,Acceptable
9.76,3.98,6.478,0.199,3.39,7.74,Acceptable
9.92,12.67,6.11,0.255,5.34,5.48,Spoiled
3.39,6.59,6.479,0.194,3.18,7.86,Acceptable
9.61,13.48,6.117,0.258,5.07,5.66,Spoiled
9.76,12.48,6.189,0.258,4.99,5.43,Spoiled
9.8,5.97,6.408,0.212,3.77,7.26,Acceptable
9.1,14.45,6.138,0.272,5.11,4.46,Spoiled
3.84,7.11,6.501,0.191,3.31,8.21,Acceptable
9.59,0.58,6.566,0.155,2.97,7.94,Acceptable
6.02,14.93,6.156,0.248,4.76,5.26,Spoiled
6.11,11.35,6.24,0.246,4.55,6.07,Spoiled
7.2,14.76,6.156,0.259,5.09,5.92,Spoiled
9.25,11.03,6.184,0.25,4.98,6.09,Spoiled
6.86,4.67,6.451,0.184,3.07,8.05,Acceptable
2.71,9.16,6.357,0.213,3.19,6.77,Acceptable
5.41,11.6,6.277,0.232,4.2,6.33,Spoiled
4.6,14.11,6.191,0.269,4.71,6.07,Spoiled
7.9,4.43,6.47,0.185,3.13,7.9,Acceptable
3.14,8.7,6.442,0.217,3.22,7.01,Acceptable
6.6,0.19,6.621,0.136,2.69,8.88,Acceptable
4.14,0.72,6.69,0.131,1.94,9.07,Acceptable
7.27,1.64,6.578,0.176,2.64,8.35,Acceptable
9.0,5.23,6.444,0.191,3.61,6.87,Acceptable
5.4,5.36,6.476,0.178,2.92,8.42,Acceptable
8.91,14.87,6.067,0.276,5.55,4.05,Spoiled
4.95,11.78,6.225,0.253,4.25,6.4,Spoiled
9.56,5.54,6.371,0.205,3.61,7.3,Acceptable
3.48,12.05,6.221,0.233,4.3,6.84,Spoiled
2.88,4.22,6.58,0.158,2.92,8.4,Acceptable
6.64,1.82,6.62,0.144,2.64,8.66,Acceptable
2.86,13.41,6.227,0.229,4.0,6.44,Spoiled
9.97,6.96,6.328,0.208,4.1,6.8,Acceptable
2.45,3.85,6.603,0.159,2.34,9.02,Acceptable
4.77,11.81,6.253,0.242,4.42,6.6,Spoiled
7.05,10.7,6.237,0.232,4.22,5.5,Spoiled
8.09,1.67,6.504,0.171,2.8,7.89,Acceptable
4.02,6.41,6.482,0.193,3.25,7.71,Acceptable
8.76,14.36,6.078,0.275,5.17,5.25,Spoiled
8.47,6.89,6.403,0.202,3.71,6.96,Acceptable
5.7,11.31,6.303,0.233,4.1,6.14,Spoiled
5.7,9.52,6.38,0.214,4.25,5.8,Acceptable
4.55,12.69,6.243,0.235,4.03,5.57,Spoiled
6.76,1.96,6.582,0.158,2.58,8.69,Acceptable
2.15,3.2,6.604,0.157,2.7,7.95,Acceptable
3.02,12.33,6.229,0.228,4.35,5.72,Spoiled
4.38,0.59,6.638,0.13,2.05,8.99,Acceptable
8.54,4.43,6.48,0.182,3.2,8.42,Acceptable
8.38,14.35,6.147,0.275,5.31,5.3,Spoiled
4.25,6.75,6.413,0.195,3.12,7.81,Acceptable
7.34,8.66,6.34,0.21,3.84,7.18,Acceptable
3.96,9.35,6.446,0.215,3.43,7.15,Acceptable
3.42,1.54,6.645,0.139,2.49,9.72,Acceptable
7.95,10.17,6.212,0.23,4.24,6.32,Spoiled
3.11,11.63,6.344,0.214,3.72,7.37,Acceptable
2.04,9.29,6.421,0.209,3.43,8.22,Acceptable
9.9,3.39,6.413,0.186,3.21,7.77,Acceptable
2.68,9.55,6.324,0.207,3.76,7.82,Acceptable
3.3,12.7,6.304,0.227,4.08,5.88,Spoiled
2.36,12.6,6.317,0.235,4.03,6.02,Spoiled
7.1,4.45,6.525,0.174,3.4,8.29,Acceptable
8.7,7.63,6.356,0.22,4.25,7.1,Acceptable
9.69,5.32,6.39,0.202,3.83,7.35,Acceptable
8.38,0.12,6.621,0.169,2.74,8.13,Acceptable
5.64,8.86,6.355,0.207,4.03,6.85,Acceptable
9.98,4.4,6.393,0.188,3.79,7.19,Acceptable
9.24,2.47,6.55,0.168,3.02,8.95,Acceptable
5.37,0.58,6.702,0.136,2.28,8.56,Acceptable
9.75,4.68,6.484,0.193,3.37,7.27,Acceptable
7.67,7.82,6.365,0.204,3.74,7.43,Acceptable
3.7,0.87,6.742,0.137,2.07,9.17,Acceptable
2.51,11.1,6.399,0.218,3.89,7.18,Acceptable
5.94,6.39,6.484,0.177,3.46,7.33,Acceptable
8.45,1.25,6.512,0.159,2.83,8.49,Acceptable
7.81,0.39,6.57,0.154,2.93,9.01,Acceptable
6.66,0.93,6.605,0.149,2.53,9.19,Acceptable
6.99,5.86,6.405,0.204,3.29,8.01,Acceptable
7.31,7.84,6.342,0.203,3.42,7.11,Acceptable
3.38,9.52,6.273,0.209,3.87,6.89,Acceptable
3.27,12.33,6.293,0.24,4.39,6.41,Spoiled
3.29,9.76,6.397,0.225,3.8,7.16,Spoiled
3.94,0.66,6.649,0.133,2.19,9.83,Acceptable
7.55,3.82,6.499,0.164,3.17,8.59,Acceptable
2.6,2.23,6.667,0.148,2.18,9.06,Acceptable
9.38,5.08,6.394,0.193,3.61,7.05,Acceptable
2.58,14.37,6.248,0.251,4.42,5.83,Spoiled
7.67,3.13,6.566,0.168,3.25,8.26,Acceptable
6.3,12.36,6.191,0.251,4.57,5.59,Spoiled
7.03,9.54,6.331,0.218,4.29,6.74,Acceptable
5.6,3.38,6.539,0.166,2.35,8.68,Acceptable
2.59,5.95,6.469,0.17,2.73,7.58,Acceptable
3.79,3.7,6.58,0.16,2.61,8.28,Acceptable
9.64,9.66,6.225,0.233,4.15,6.88,Spoiled
7.15,9.84,6.353,0.222,3.94,6.36,Spoiled
7.56,7.57,6.384,0.202,3.44,6.48,Acceptable
8.63,14.97,6.067,0.283,5.26,5.14,Spoiled
8.48,12.88,6.176,0.26,5.06,5.53,Spoiled
2.12,8.74,6.417,0.19,3.14,7.81,Acceptable
2.94,0.97,6.702,0.137,2.19,9.82,Acceptable
8.17,2.94,6.603,0.161,3.32,8.22,Acceptable
6.4,1.39,6.598,0.151,2.28,8.6,Acceptable
2.29,13.23,6.287,0.224,4.22,7.11,Spoiled
3.8,0.06,6.768,0.121,1.73,10.0,Acceptable
5.18,9.64,6.357,0.223,3.58,6.66,Spoiled
3.94,8.41,6.415,0.196,3.43,7.95,Acceptable
6.27,6.46,6.453,0.198,3.26,7.28,Acceptable
3.36,14.64,6.177,0.251,4.64,6.02,Spoiled
3.85,2.14,6.652,0.162,2.52,9.23,Acceptable
4.36,5.76,6.461,0.171,3.09,9.17,Acceptable
9.5,0.29,6.647,0.174,2.88,9.7,Acceptable
3.49,10.14,6.338,0.217,3.74,5.86,Acceptable
7.31,1.07,6.628,0.154,2.37,8.61,Acceptable
9.47,1.31,6.512,0.16,2.86,9.22,Acceptable
7.52,10.93,6.255,0.236,4.21,5.55,Spoiled
7.84,10.43,6.261,0.244,4.33,6.94,Spoiled
6.06,10.69,6.271,0.25,4.18,6.92,Spoiled
7.93,4.87,6.482,0.184,2.84,7.58,Acceptable
6.34,9.21,6.368,0.22,3.74,6.53,Spoiled
2.05,12.26,6.256,0.236,3.99,6.87,Spoiled
8.64,6.46,6.332,0.203,3.99,6.97,Acceptable
7.35,12.98,6.214,0.267,4.83,5.81,Spoiled
5.97,1.87,6.561,0.161,2.85,8.92,Acceptable
8.15,9.13,6.21,0.219,3.85,6.48,Spoiled
3.48,12.41,6.257,0.212,4.73,7.22,Acceptable
6.55,1.82,6.54,0.15,2.53,8.36,Acceptable
8.46,4.87,6.406,0.195,3.26,7.55,Acceptable
2.64,2.62,6.618,0.151,2.81,9.15,Acceptable
4.63,13.64,6.245,0.244,4.07,5.42,Spoiled
7.16,11.85,6.261,0.238,4.34,6.5,Spoiled
9.56,5.24,6.399,0.194,3.95,7.6,Acceptable
3.75,5.37,6.532,0.164,3.21,8.33,Acceptable
8.24,5.52,6.424,0.186,3.43,7.05,Acceptable
5.17,0.7,6.692,0.139,2.03,9.24,Acceptable
2.85,14.16,6.281,0.25,4.32,6.21,Spoiled
2.29,13.43,6.298,0.234,4.35,6.43,Spoiled
3.46,8.38,6.398,0.209,3.2,7.94,Acceptable
2.57,10.99,6.41,0.207,3.72,6.81,Acceptable
9.79,10.16,6.264,0.223,4.21,5.82,Spoiled
3.36,9.16,6.358,0.207,3.45,7.19,Acceptable
8.82,7.27,6.344,0.22,3.38,7.27,Acceptable
6.39,2.28,6.542,0.165,2.49,9.36,Acceptable
3.86,1.16,6.679,0.126,2.22,9.9,Acceptable
8.4,6.88,6.405,0.206,3.55,7.37,Acceptable
2.91,5.18,6.549,0.163,2.49,7.97,Acceptable
4.22,9.23,6.353,0.213,3.93,6.91,Acceptable
9.88,14.76,6.002,0.265,5.55,4.9,Spoiled
7.99,13.24,6.174,0.262,4.74,5.79,Spoiled
6.24,9.09,6.298,0.216,3.66,5.83,Acceptable
8.08,11.31,6.242,0.234,4.54,5.33,Spoiled
2.15,5.78,6.519,0.178,2.61,8.33,Acceptable
2.05,11.08,6.392,0.218,3.22,7.82,Acceptable
4.19,0.35,6.716,0.136,2.34,9.32,Acceptable
3.49,7.45,6.42,0.181,3.19,8.02,Acceptable
2.21,1.08,6.705,0.13,1.91,9.68,Acceptable
2.51,7.45,6.46,0.193,3.09,7.78,Acceptable
2.41,1.66,6.646,0.144,2.31,10.0,Acceptable
6.37,0.65,6.642,0.148,2.02,9.1,Acceptable
2.08,11.9,6.344,0.227,3.76,7.46,Spoiled
3.94,14.05,6.18,0.254,4.69,6.16,Spoiled
8.7,5.53,6.4,0.192,3.32,7.27,Acceptable
4.78,1.58,6.623,0.152,2.2,9.06,Acceptable
2.25,8.0,6.49,0.191,3.13,8.1,Acceptable
5.22,4.49,6.525,0.164,3.02,8.1,Acceptable
9.4,9.26,6.283,0.223,4.13,5.44,Spoiled
5.27,7.26,6.386,0.209,3.1,8.07,Acceptable
8.54,6.56,6.381,0.2,3.82,7.14,Acceptable
4.46,11.71,6.293,0.222,4.36,6.45,Spoiled
3.1,10.42,6.312,0.221,3.75,7.05,Spoiled
8.99,7.59,6.355,0.221,3.73,6.7,Spoiled
3.05,8.67,6.379,0.207,3.35,7.9,Acceptable
6.32,9.88,6.257,0.217,3.67,6.71,Acceptable
6.78,5.14,6.51,0.191,3.14,7.03,Acceptable
6.73,4.12,6.493,0.171,3.3,7.67,Acceptable
6.36,8.18,6.322,0.194,3.83,6.9,Acceptable
2.86,0.87,6.762,0.129,2.01,9.54,Acceptable
8.0,11.61,6.183,0.254,4.65,5.36,Spoiled
7.08,1.82,6.619,0.167,2.62,8.91,Acceptable
3.77,0.94,6.631,0.133,2.32,10.0,Acceptable
8.99,9.81,6.31,0.229,4.64,7.25,Spoiled
4.85,3.02,6.594,0.157,2.79,8.74,Acceptable
2.32,6.89,6.491,0.181,3.03,7.95,Acceptable
3.22,5.71,6.501,0.179,3.38,8.45,Acceptable
2.27,14.27,6.227,0.239,4.28,5.24,Spoiled
9.16,0.19,6.645,0.155,2.98,9.01,Acceptable
4.96,0.17,6.679,0.137,2.22,9.97,Acceptable
3.98,11.71,6.269,0.253,4.0,6.86,Spoiled
6.94,10.46,6.225,0.228,4.05,6.18,Spoiled
2.27,9.11,6.426,0.201,3.39,8.04,Acceptable
5.48,12.95,6.215,0.24,4.42,5.88,Spoiled
9.6,13.15,6.111,0.262,5.14,5.33,Spoiled
4.53,4.88,6.555,0.184,2.94,7.55,Acceptable
7.11,4.54,6.495,0.182,3.42,8.04,Acceptable
8.36,2.61,6.536,0.164,3.27,7.94,Acceptable
7.38,12.86,6.118,0.252,4.65,5.8,Spoiled
8.01,5.33,6.455,0.195,3.44,6.78,Acceptable
2.81,12.27,6.361,0.21,3.98,6.94,Acceptable
6.78,3.42,6.589,0.183,2.78,8.15,Acceptable
2.58,11.42,6.371,0.214,3.53,7.01,Acceptable
7.06,0.22,6.634,0.15,2.72,9.78,Acceptable
2.2,3.98,6.614,0.154,2.5,9.01,Acceptable
5.9,0.35,6.623,0.133,2.44,9.17,Acceptable
2.62,8.1,6.458,0.195,3.25,7.64,Acceptable
2.99,13.09,6.268,0.249,4.41,6.73,Spoiled
5.4,13.61,6.204,0.267,4.86,5.73,Spoiled
2.25,2.88,6.599,0.152,2.22,8.45,Acceptable
6.41,14.46,6.106,0.252,5.02,5.53,Spoiled
4.28,4.88,6.544,0.165,3.1,8.55,Acceptable
8.97,7.15,6.381,0.202,4.12,6.81,Acceptable
7.58,11.06,6.223,0.236,4.39,6.94,Spoiled
9.76,10.41,6.214,0.241,4.17,5.37,Spoiled
8.16,10.74,6.236,0.241,4.31,6.42,Spoiled
8.92,9.81,6.261,0.227,4.42,6.49,Spoiled
3.65,6.61,6.433,0.184,2.91,7.89,Acceptable
2.32,7.66,6.415,0.178,3.31,7.46,Acceptable
6.8,4.05,6.519,0.18,3.02,7.77,Acceptable
2.19,7.63,6.513,0.191,3.11,7.75,Acceptable
5.72,9.55,6.341,0.218,4.34,6.5,Acceptable
3.61,14.28,6.213,0.245,4.3,5.51,Spoiled
3.31,11.15,6.364,0.224,4.23,7.21,Spoiled
8.54,3.01,6.505,0.178,3.05,8.34,Acceptable
6.89,14.53,6.085,0.268,5.23,4.87,Spoiled
8.58,7.68,6.319,0.217,3.37,6.95,Acceptable
6.16,8.15,6.366,0.217,3.73,7.29,Acceptable
8.36,8.98,6.327,0.238,3.96,6.6,Spoiled
4.08,14.82,6.221,0.251,4.48,4.96,Spoiled
7.14,3.78,6.548,0.17,2.64,8.24,Acceptable
7.42,5.71,6.445,0.21,3.29,8.54,Acceptable
7.75,5.93,6.423,0.206,3.98,7.25,Acceptable
3.76,2.5,6.614,0.149,2.36,9.81,Acceptable
6.3,2.61,6.537,0.151,2.62,8.65,Acceptable
3.29,9.75,6.404,0.208,3.82,7.37,Acceptable
3.99,4.24,6.558,0.154,2.87,8.28,Acceptable
9.7,8.1,6.313,0.208,4.06,6.94,Acceptable
9.03,6.74,6.37,0.216,3.55,7.74,Acceptable
8.4,4.29,6.496,0.178,3.11,7.84,Acceptable
2.7,5.03,6.481,0.16,2.53,9.19,Acceptable
4.41,7.39,6.432,0.207,3.28,7.51,Acceptable
5.04,4.35,6.524,0.155,3.41,8.55,Acceptable
9.21,1.21,6.553,0.156,2.76,8.73,Acceptable
4.19,14.72,6.158,0.272,4.75,5.88,Spoiled
8.24,8.24,6.408,0.22,4.26,6.3,Spoiled
3.95,10.33,6.372,0.223,3.92,7.1,Spoiled
3.19,14.13,6.166,0.245,3.9,6.17,Spoiled
4.84,12.05,6.218,0.247,4.37,5.93,Spoiled
8.16,12.11,6.2,0.241,4.4,6.0,Spoiled
9.98,1.08,6.57,0.168,3.02,9.03,Acceptable
2.16,12.19,6.27,0.223,3.97,6.17,Spoiled
6.02,12.39,6.22,0.241,4.34,5.75,Spoiled
3.45,8.11,6.486,0.194,3.09,7.5,Acceptable
